Metric,Model,Problem,Score
Accuracy,GPT4,BFS,57.14
Accuracy,GPT4,Graph2D,70.0
Accuracy,GPT4,GraphUnion,94.12
Accuracy,GPT4,LIS,93.1
Accuracy,GPT4,MedianSortedArray,85.71
Accuracy,GPT4,RecArea,76.47
Accuracy,GPT4,RPN,66.67
Accuracy,GPT4,SW,77.27
Accuracy,GPT4,SwimInWater,59.09
Accuracy,GPT4,TrappingRainWater,72.34
Accuracy,Watsonx,BFS,7.14
Accuracy,Watsonx,Graph2D,0.0
Accuracy,Watsonx,GraphUnion,47.06
Accuracy,Watsonx,LIS,93.1
Accuracy,Watsonx,MedianSortedArray,14.29
Accuracy,Watsonx,RecArea,5.88
Accuracy,Watsonx,RPN,50.0
Accuracy,Watsonx,SW,18.18
Accuracy,Watsonx,SwimInWater,0.0
Accuracy,Watsonx,TrappingRainWater,0.0
Accuracy,Claude,BFS,42.86
Accuracy,Claude,Graph2D,70.0
Accuracy,Claude,GraphUnion,94.12
Accuracy,Claude,LIS,93.1
Accuracy,Claude,MedianSortedArray,85.71
Accuracy,Claude,RecArea,76.47
Accuracy,Claude,RPN,66.67
Accuracy,Claude,SW,77.27
Accuracy,Claude,SwimInWater,66.67
Accuracy,Claude,TrappingRainWater,72.34
Accuracy,CodeWhisperer,BFS,50.0
Accuracy,CodeWhisperer,Graph2D,0.0
Accuracy,CodeWhisperer,GraphUnion,0.0
Accuracy,CodeWhisperer,LIS,89.66
Accuracy,CodeWhisperer,MedianSortedArray,42.86
Accuracy,CodeWhisperer,RecArea,76.47
Accuracy,CodeWhisperer,RPN,66.67
Accuracy,CodeWhisperer,SW,77.27
Accuracy,CodeWhisperer,SwimInWater,0.0
Accuracy,CodeWhisperer,TrappingRainWater,68.09
Time,GPT4,BFS,0.01385303
Time,GPT4,Graph2D,0.05477382
Time,GPT4,GraphUnion,0.0006387
Time,GPT4,LIS,0.00389554
Time,GPT4,MedianSortedArray,0.0005347
Time,GPT4,RecArea,0.00192923
Time,GPT4,RPN,0.00245342
Time,GPT4,SW,0.01823102
Time,GPT4,SwimInWater,0.02240905
Time,GPT4,TrappingRainWater,0.01003031
Time,Watsonx,BFS,0.0054523
Time,Watsonx,Graph2D,0.01666705
Time,Watsonx,GraphUnion,0.00383738
Time,Watsonx,LIS,0.39358888
Time,Watsonx,MedianSortedArray,0.00901187
Time,Watsonx,RecArea,0.01198022
Time,Watsonx,RPN,0.00442285
Time,Watsonx,SW,3.67751299
Time,Watsonx,SwimInWater,0.00799199
Time,Watsonx,TrappingRainWater,0.02318877
Time,Claude,BFS,0.01393982
Time,Claude,Graph2D,0.05702755
Time,Claude,GraphUnion,0.00066183
Time,Claude,LIS,0.50168306
Time,Claude,MedianSortedArray,0.00052187
Time,Claude,RecArea,0.0019493
Time,Claude,RPN,0.00239606
Time,Claude,SW,0.01241319
Time,Claude,SwimInWater,0.00286583
Time,Claude,TrappingRainWater,0.02224133
Time,CodeWhisperer,BFS,0.00401478
Time,CodeWhisperer,Graph2D,0.01801965
Time,CodeWhisperer,GraphUnion,0.01233961
Time,CodeWhisperer,LIS,0.39275214
Time,CodeWhisperer,MedianSortedArray,0.00164222
Time,CodeWhisperer,RecArea,0.00247978
Time,CodeWhisperer,RPN,0.00246257
Time,CodeWhisperer,SW,0.01534074
Time,CodeWhisperer,SwimInWater,0.0
Time,CodeWhisperer,TrappingRainWater,0.02110961
Memory,GPT4,BFS,38.12
Memory,GPT4,Graph2D,49.12
Memory,GPT4,GraphUnion,38.24
Memory,GPT4,LIS,37.79
Memory,GPT4,MedianSortedArray,37.79
Memory,GPT4,RecArea,37.56
Memory,GPT4,RPN,38.11
Memory,GPT4,SW,42.9
Memory,GPT4,SwimInWater,37.94
Memory,GPT4,TrappingRainWater,38.33
Memory,Watsonx,BFS,38.07
Memory,Watsonx,Graph2D,38.31
Memory,Watsonx,GraphUnion,37.85
Memory,Watsonx,LIS,38.2
Memory,Watsonx,MedianSortedArray,39.29
Memory,Watsonx,RecArea,38.01
Memory,Watsonx,RPN,38.27
Memory,Watsonx,SW,57.91
Memory,Watsonx,SwimInWater,38.05
Memory,Watsonx,TrappingRainWater,38.63
Memory,Claude,BFS,39.07
Memory,Claude,Graph2D,47.54
Memory,Claude,GraphUnion,38.15
Memory,Claude,LIS,38.06
Memory,Claude,MedianSortedArray,37.59
Memory,Claude,RecArea,37.65
Memory,Claude,RPN,37.91
Memory,Claude,SW,42.39
Memory,Claude,SwimInWater,37.98
Memory,Claude,TrappingRainWater,39.14
Memory,CodeWhisperer,BFS,37.9
Memory,CodeWhisperer,Graph2D,38.67
Memory,CodeWhisperer,GraphUnion,37.66
Memory,CodeWhisperer,LIS,38.11
Memory,CodeWhisperer,MedianSortedArray,37.71
Memory,CodeWhisperer,RecArea,37.8
Memory,CodeWhisperer,RPN,37.53
Memory,CodeWhisperer,SW,42.33
Memory,CodeWhisperer,SwimInWater,0.0
Memory,CodeWhisperer,TrappingRainWater,38.77
Maintainability,GPT4,BFS,71.77
Maintainability,GPT4,Graph2D,54.73
Maintainability,GPT4,GraphUnion,49.22
